wave,reason,name,slug,email,category,profile_url,sent_at,replied,claimed
0,corporate,Animal Care Hospital,animal-care-hospital,privacy@nva.com,Other,https://www.lompoclocals.com/biz/animal-care-hospital,,,
0,corporate,Anytime Fitness Lompoc,anytime-fitness-lompoc,mediainquiries@sebrands.com,Services,https://www.lompoclocals.com/biz/anytime-fitness-lompoc,,,
0,corporate,Boot Barn,boot-barn,custserv@bootbarn.com,Retail,https://www.lompoclocals.com/biz/boot-barn,,,
0,corporate,Compass — Lompoc,compass-lompoc,zuzu.aceves@compass.com,Real Estate,https://www.lompoclocals.com/biz/compass-lompoc,,,
0,corporate,Compass Real Estate,compass-real-estate,press@compass.com,Other,https://www.lompoclocals.com/biz/compass-real-estate,,,
0,corporate,DG Market,dg-market,digitalcare@dollargeneral.com,Retail,https://www.lompoclocals.com/biz/dg-market,,,
0,malformed,Explanada Lompoc,explanada-lompoc,mmgconcert@gmail.com\,Entertainment,https://www.lompoclocals.com/biz/explanada-lompoc,,,
0,corporate,Great Clips Lompoc,great-clips-lompoc,customerservice@greatclips.com,Health & Beauty,https://www.lompoclocals.com/biz/great-clips-lompoc,,,
0,placeholder,Inn of Lompoc,inn-of-lompoc,info@company.co,Other,https://www.lompoclocals.com/biz/inn-of-lompoc,,,
0,malformed,Lompoc Ace Hardware,lompoc-ace-hardware,carecenter@acehardware.com\u0022\u003ecarecenter@acehardware.com\u003c/a\u003e,Retail,https://www.lompoclocals.com/biz/lompoc-ace-hardware,,,
0,corporate,Lompoc Center,lompoc-center,sydney.johnson@brixmor.com,Retail,https://www.lompoclocals.com/biz/lompoc-center,,,
0,corporate,MJ Direct (UNDER NEW MANAGEMENT),mj-direct-under-new-management,support@mjdirect.com,Retail,https://www.lompoclocals.com/biz/mj-direct-under-new-management,,,
0,corporate,Net Construct Electric,net-construct-electric,website_support@spoton.com,Services,https://www.lompoclocals.com/biz/net-construct-electric,,,
0,corporate,Rite Aid Lompoc,rite-aid-lompoc,hello@riteaid.com,Health & Beauty,https://www.lompoclocals.com/biz/rite-aid-lompoc,,,
0,corporate,Sea Smoke,sea-smoke,customerservice@seasmoke.com,Wineries,https://www.lompoclocals.com/biz/sea-smoke,,,
0,placeholder,Sky 2 Storage,sky-2-storage,johndoe@gmail.com,Other,https://www.lompoclocals.com/biz/sky-2-storage,,,
0,placeholder,Smart & Final Extra Lompoc,smart-final-lompoc,joe@commerce.com,Retail,https://www.lompoclocals.com/biz/smart-final-lompoc,,,
0,corporate,Snap Fitness Lompoc,snap-fitness-lompoc,media@snapfitness.com,Services,https://www.lompoclocals.com/biz/snap-fitness-lompoc,,,
0,corporate,Starbucks,starbucks,press@starbucks.com,Food & Drink,https://www.lompoclocals.com/biz/starbucks,,,
0,corporate,Starbucks Coffee Company,starbucks-coffee-company,press@starbucks.com,Food & Drink,https://www.lompoclocals.com/biz/starbucks-coffee-company,,,
