priority,business,slug,category,views_30d,phone,email,profile_url,target_type,status,offer_collected,notes
1,Eddie's Grill,eddies-grill,Food & Drink,92,(805) 735-4488,j.carlosmeza1995@yahoo.com,https://www.lompoclocals.com/biz/eddies-grill,local-owned,,,Top-traffic beachhead target
2,LAUNCHpad,launchpad-lompoc,Services,73,(805) 741-3099,lompoclaunchpad@gmail.com,https://www.lompoclocals.com/biz/launchpad-lompoc,local-owned,,,
3,American Stages Realty & Management,american-stages-realty-management-inc,Real Estate,73,(805) 819-0911,leasing@americanstages.com,https://www.lompoclocals.com/biz/american-stages-realty-management-inc,local-owned,,,Realty — deal could be a referral/first-month special
4,In&Out Tires Lpc,in-out-tires-lpc,Auto,67,(805) 736-9332,inandouttireslpc@gmail.com,https://www.lompoclocals.com/biz/in-out-tires-lpc,local-owned,,,
5,Jasper's Saloon,jasper-s,Food & Drink,61,(805) 735-1509,,https://www.lompoclocals.com/biz/jasper-s,local-owned,,,No email — call/visit
6,Vargas Jewelers Trophies & Awards,vargas-jewelers-trophies-awards,Retail,60,(805) 735-1626,vargasjewelers@gmail.com,https://www.lompoclocals.com/biz/vargas-jewelers-trophies-awards,local-owned,,,
7,One Plant Lompoc,one-plant-lompoc,Dispensaries,59,(805) 741-7419,info@oneplant.life,https://www.lompoclocals.com/biz/one-plant-lompoc,local-owned,,,Dispensary — follow compliance on offers
8,Oliveira's Fashion Floors & Restoration,oliveiras-fashion-floors-restoration,Services,56,(805) 736-9399,,https://www.lompoclocals.com/biz/oliveiras-fashion-floors-restoration,local-owned,,,No email — call
9,Bowl & Soul,bowl-and-soul,Food & Drink,48,,,https://www.lompoclocals.com/biz/bowl-and-soul,local-owned,,,No phone/email — visit in person
10,Tacos y Mariscos El Culichi,tacos-y-mariscos-el-culichi,Food & Drink,42,(805) 819-1889,tacosculichi01@yahoo.com,https://www.lompoclocals.com/biz/tacos-y-mariscos-el-culichi,local-owned,,,Bilingual outreach likely best
11,Alfie's Fish & Chips,alfie-s-fish-chips,Food & Drink,34,(805) 736-0154,mrmike336@hotmail.com,https://www.lompoclocals.com/biz/alfie-s-fish-chips,local-owned,,,
12,American Host Restaurant & Catering,american-host-restaurant-catering,Food & Drink,30,(805) 735-5188,,https://www.lompoclocals.com/biz/american-host-restaurant-catering,local-owned,,,No email — call
13,45 Degree Plumbing Inc.,45-degree-plumbing-inc,Services,26,(805) 315-4056,,https://www.lompoclocals.com/biz/45-degree-plumbing-inc,local-owned,,,Enriched; email 45degreeplumbing@gmail.com unverified
14,805 Bees Knees @The Garden Shoppe,805-bees-knees-the-garden-shoppe,Retail,25,(805) 294-8105,,https://www.lompoclocals.com/biz/805-bees-knees-the-garden-shoppe,local-owned,,,Enriched; reach via IG @805bees.knees
15,Dogfather's Hot Dogs,dogfather-s-hot-dogs,Food & Drink,25,(805) 291-2952,,https://www.lompoclocals.com/biz/dogfather-s-hot-dogs,local-owned,,,No email — call
16,Elevate Lompoc,elevate-lompoc,Dispensaries,24,(805) 819-0077,elevate@elevatelompoc.com,https://www.lompoclocals.com/biz/elevate-lompoc,local-owned,,,Dispensary — compliance
17,The Upper Room Salon and Spa,the-upper-room-salon-and-spa,Health & Beauty,23,,,https://www.lompoclocals.com/biz/the-upper-room-salon-and-spa,local-owned,,,Enriched; no phone/email — DM/visit
18,Fatte's Pizza Of Lompoc,fatte-s-pizza-of-lompoc,Food & Drink,23,(805) 430-8086,german_2737@hotmail.com,https://www.lompoclocals.com/biz/fatte-s-pizza-of-lompoc,local-owned,,,
19,Babcock Winery & Vineyards,babcock-winery,Wineries,23,(805) 736-1455,info@babcockwinery.com,https://www.lompoclocals.com/biz/babcock-winery,local-owned,,,Tasting offer
20,Calvary Baptist Church,calvary-baptist-church,Services,22,(805) 733-3545,info@calvarylompoc.org,https://www.lompoclocals.com/biz/calvary-baptist-church,non-commercial,,,Church — not a deal target; skip for deal-ask
21,Brewer-Clifton Winery,brewer-clifton-winery,Wineries,22,(805) 735-9184,info@brewerclifton.com,https://www.lompoclocals.com/biz/brewer-clifton-winery,local-owned,,,Tasting offer
22,Floriano's Mexican Food,florianos-mexican-food,Food & Drink,21,(805) 737-9396,florianos805@gmail.com,https://www.lompoclocals.com/biz/florianos-mexican-food,local-owned,,,Bilingual
23,Abigail's Flowers #2,abigail-s-flowers-2,Retail,21,(805) 345-1981,,https://www.lompoclocals.com/biz/abigail-s-flowers-2,local-owned,,,No email — call
24,Evening Land Vineyards,evening-land-vineyards,Wineries,21,(805) 736-2455,jerry@icewingcc.com,https://www.lompoclocals.com/biz/evening-land-vineyards,local-owned,,,Tasting offer
25,Altered Aesthetics Beauty Lounge,altered-aesthetics-beauty-lounge,Health & Beauty,20,(805) 291-9339,alteredaestheticsbeautylounge@gmail.com,https://www.lompoclocals.com/biz/altered-aesthetics-beauty-lounge,local-owned,,,
26,Flying Goat Cellars,flying-goat-cellars,Wineries,20,(805) 736-9032,info@flyinggoatcellars.com,https://www.lompoclocals.com/biz/flying-goat-cellars,local-owned,,,Enriched; tasting offer
27,Capulin Eats & Provisions,capulin-eats,Food & Drink,19,(805) 743-4151,,https://www.lompoclocals.com/biz/capulin-eats,local-owned,,,No email — call
28,La Roca Bakery,la-roca-bakery,Food & Drink,19,(805) 736-3603,,https://www.lompoclocals.com/biz/la-roca-bakery,local-owned,,,No email — call; bilingual
29,Ken Brown Wines,ken-brown-wines,Wineries,19,(805) 688-9400,john@kenbrownwines.com,https://www.lompoclocals.com/biz/ken-brown-wines,local-owned,,,Tasting offer
30,Hanger 7 Social House,hanger-7-social-house,Food & Drink,19,(805) 735-7700,hangar7lounge@gmail.com,https://www.lompoclocals.com/biz/hanger-7-social-house,local-owned,,,
31,Angela's Restaurant,angela-s-restaurant,Food & Drink,19,(805) 737-0184,,https://www.lompoclocals.com/biz/angela-s-restaurant,local-owned,,,No email — call
32,Zotovich Vineyards Tasting Room,zotovich-vineyards-tasting-room,Wineries,19,(805) 736-1600,info@zotovichvineyards.com,https://www.lompoclocals.com/biz/zotovich-vineyards-tasting-room,local-owned,,,Tasting offer
33,Dave's Place,dave-s-place,Food & Drink,19,(805) 954-9295,dave.jaskolski@villageinnca.com,https://www.lompoclocals.com/biz/dave-s-place,local-owned,,,
34,Lemos Feed & Pet Supply,lemos-feed-pet-supply,Retail,18,(805) 735-1975,info@lemospet.com,https://www.lompoclocals.com/biz/lemos-feed-pet-supply,local-owned,,,
90,Albertsons,albertsons,Food & Drink,27,(805) 736-3948,,https://www.lompoclocals.com/biz/albertsons,chain,,,Corporate chain — no local deal authority; low priority
91,Albertsons Bakery,albertsons-bakery,Food & Drink,27,(805) 736-3948,,https://www.lompoclocals.com/biz/albertsons-bakery,chain,,,Corporate chain — low priority
92,Anytime Fitness Lompoc,anytime-fitness-lompoc,Services,26,(805) 430-9977,mediainquiries@sebrands.com,https://www.lompoclocals.com/biz/anytime-fitness-lompoc,chain,,,Franchise — email is corporate media; try local club directly
93,Wingstop,wingstop-lompoc,Food & Drink,21,(805) 819-0816,helpdesk@wingstop.com,https://www.lompoclocals.com/biz/wingstop-lompoc,chain,,,Chain — corporate email; low priority
94,Starbucks,starbucks,Food & Drink,18,(805) 266-1566,press@starbucks.com,https://www.lompoclocals.com/biz/starbucks,chain,,,Chain — corporate; skip for deal-ask
