date,time,channels,series,text,link,media
2026-07-30,12:00,"facebook,instagram",Local spotlight,"📍 Fortified Tattoo Co. — 119 S J St

Retail in Lompoc. Photos, hours and directions are all on their page.

👉 https://www.lompoclocals.com/en/biz/fortified-tattoo-co

Been? Tell everyone what to order 👇

#ShopLocalLompoc #LompocBusiness #SmallBusinessLompoc #Lompoc #805",https://www.lompoclocals.com/en/biz/fortified-tattoo-co,
2026-07-31,16:00,"facebook,instagram,tiktok",Free in Lompoc,"🚀 There's a launch this weekend.

Falcon 9 Block 5 — Starlink Group 17-52 — Fri, Jul 31, from Vandenberg.

Best free views: Harris Grade Rd, Ocean Ave heading west, or your own driveway. Look southwest.

Every launch on the calendar 👉 https://www.lompoclocals.com/en/events

#VandenbergSFB #RocketLaunch #Lompoc #LompocCA #CentralCoast #805",https://www.lompoclocals.com/en/events,docs/social-kit/images/week2/launch.png
2026-08-02,11:00,"facebook,instagram,tiktok",Video,"All of Lompoc, in one place 💜

Every local business, every event, every launch over the base — and everywhere worth going.

👉 https://www.lompoclocals.com

#Lompoc #LompocCA #ShopLocalLompoc #CentralCoast #805",https://www.lompoclocals.com,docs/social-kit/video/lompoc-locals-spot.mp4
2026-08-03,08:30,"facebook,instagram",This Week in Lompoc,"This week in Lompoc 📅

🚀 Tue, Aug 4 — Rocket Launch: Falcon 9 Block 5 — Starlink Group 17-53
🎨 Tue, Aug 4 — Pouring My Art Out
🎨 Thu, Aug 6 — Lompoc Art Walk
🛍️ Fri, Aug 7 — Old Town Market
🚀 Sat, Aug 8 — Rocket Launch: Falcon 9 Block 5 — Starlink Group 17-38

Plus 58 more on the calendar — all of it in one place, no account needed.

👉 https://www.lompoclocals.com/en/events

#Lompoc #LompocCA #ShopLocalLompoc #CentralCoast #805",https://www.lompoclocals.com/en/events,docs/social-kit/images/week2/week-events.png
2026-08-04,17:30,"facebook,instagram",You've driven past it 500 times,"You've driven past it 500 times. Have you ever actually stopped? 👀

Lompoc Wine Ghetto Tasting — 1520-1800 E Chestnut Ave

Most tasting rooms open Thursday–Sunday.

Full details, photos and directions 👉 https://www.lompoclocals.com/en/activities/lompoc-wine-ghetto

#LompocWine #WineGhetto #SantaRitaHills #Lompoc #LompocCA #805",https://www.lompoclocals.com/en/activities/lompoc-wine-ghetto,
2026-08-06,12:00,"facebook,instagram",Local spotlight,"📍 Big 5 Sporting Goods — 107 W Central Ave

Retail in Lompoc. Photos, hours and directions are all on their page.

👉 https://www.lompoclocals.com/en/biz/big-5-lompoc

Been? Tell everyone what to order 👇

#ShopLocalLompoc #LompocBusiness #SmallBusinessLompoc #Lompoc #805",https://www.lompoclocals.com/en/biz/big-5-lompoc,
2026-08-07,16:00,"facebook,instagram,tiktok",Free in Lompoc,"🚀 There's a launch this weekend.

Falcon 9 Block 5 — Starlink Group 17-38 — Sat, Aug 8, from Vandenberg.

Best free views: Harris Grade Rd, Ocean Ave heading west, or your own driveway. Look southwest.

Every launch on the calendar 👉 https://www.lompoclocals.com/en/events

#VandenbergSFB #RocketLaunch #Lompoc #LompocCA #CentralCoast #805",https://www.lompoclocals.com/en/events,docs/social-kit/images/week2/launch.png
2026-08-09,11:00,"facebook,instagram,tiktok",Video,"All of Lompoc, in one place 💜

Every local business, every event, every launch over the base — and everywhere worth going.

👉 https://www.lompoclocals.com

#Lompoc #LompocCA #ShopLocalLompoc #CentralCoast #805",https://www.lompoclocals.com,docs/social-kit/video/lompoc-locals-experience-20s.mp4
2026-08-10,08:30,"facebook,instagram",This Week in Lompoc,"This week in Lompoc 📅

🎨 Tue, Aug 11 — Pouring My Art Out
🚀 Tue, Aug 11 — Rocket Launch: Falcon 9 Block 5 — Starlink Group 17-49
📌 Thu, Aug 13 — Sta. Rita Wine and Fire Weekend 2026
📌 Thu, Aug 13 — Zine Making
🛍️ Fri, Aug 14 — Old Town Market

Plus 58 more on the calendar — all of it in one place, no account needed.

👉 https://www.lompoclocals.com/en/events

#Lompoc #LompocCA #ShopLocalLompoc #CentralCoast #805",https://www.lompoclocals.com/en/events,docs/social-kit/images/week2/week-events.png
2026-08-11,17:30,"facebook,instagram",You've driven past it 500 times,"You've driven past it 500 times. Have you ever actually stopped? 👀

La Purisima Golf Course — 3455 CA-246

Wind is the defining factor — morning rounds play noticeably easier than afternoon ones.

Full details, photos and directions 👉 https://www.lompoclocals.com/en/activities/la-purisima-golf-course

#Lompoc #LompocCA #ThingsToDoLompoc #CentralCoast #805 #Outdoors",https://www.lompoclocals.com/en/activities/la-purisima-golf-course,
2026-08-13,12:00,"facebook,instagram",Local spotlight,"📍 Certain Sparks Music — 107 S H St

Retail in Lompoc. Photos, hours and directions are all on their page.

👉 https://www.lompoclocals.com/en/biz/certain-sparks-music

Been? Tell everyone what to order 👇

#ShopLocalLompoc #LompocBusiness #SmallBusinessLompoc #Lompoc #805",https://www.lompoclocals.com/en/biz/certain-sparks-music,
2026-08-14,16:00,"facebook,instagram,tiktok",Free in Lompoc,"🚀 There's a launch this weekend.

Falcon 9 Block 5 — SDA Tranche 2 Transport Layer A — Sun, Aug 30, from Vandenberg.

Best free views: Harris Grade Rd, Ocean Ave heading west, or your own driveway. Look southwest.

Every launch on the calendar 👉 https://www.lompoclocals.com/en/events

#VandenbergSFB #RocketLaunch #Lompoc #LompocCA #CentralCoast #805",https://www.lompoclocals.com/en/events,docs/social-kit/images/week2/launch.png
2026-08-16,11:00,"facebook,instagram,tiktok",Video,"All of Lompoc, in one place 💜

Every local business, every event, every launch over the base — and everywhere worth going.

👉 https://www.lompoclocals.com

#Lompoc #LompocCA #ShopLocalLompoc #CentralCoast #805",https://www.lompoclocals.com,docs/social-kit/video/lompoc-locals-experience.mp4
2026-08-17,08:30,"facebook,instagram",This Week in Lompoc,"This week in Lompoc 📅

🎨 Tue, Aug 18 — Pouring My Art Out
📌 Sat, Aug 22 — Lompoc Valley Historical Society Open House
🎶 Sat, Aug 22 — Live Music at Hangar 7 Social House

Plus 60 more on the calendar — all of it in one place, no account needed.

👉 https://www.lompoclocals.com/en/events

#Lompoc #LompocCA #ShopLocalLompoc #CentralCoast #805",https://www.lompoclocals.com/en/events,docs/social-kit/images/week2/week-events.png
2026-08-18,17:30,"facebook,instagram",You've driven past it 500 times,"You've driven past it 500 times. Have you ever actually stopped? 👀

Lompoc Museum — 200 S H St

Admission by donation.

Full details, photos and directions 👉 https://www.lompoclocals.com/en/activities/lompoc-museum

#Lompoc #LompocCA #ThingsToDoLompoc #CentralCoast #805 #Outdoors",https://www.lompoclocals.com/en/activities/lompoc-museum,
2026-08-20,12:00,"facebook,instagram",Local spotlight,"📍 Umami ya Sushi — 697 N H St

Food & Drink in Lompoc. Photos, hours and directions are all on their page.

👉 https://www.lompoclocals.com/en/biz/umami-ya-sushi
Tag them: https://www.instagram.com/umami_ya_sushi/

Been? Tell everyone what to order 👇

#ShopLocalLompoc #LompocBusiness #SmallBusinessLompoc #Lompoc #805",https://www.lompoclocals.com/en/biz/umami-ya-sushi,
2026-08-21,16:00,"facebook,instagram,tiktok",Free in Lompoc,"🚀 There's a launch this weekend.

Falcon 9 Block 5 — SDA Tranche 2 Transport Layer A — Sun, Aug 30, from Vandenberg.

Best free views: Harris Grade Rd, Ocean Ave heading west, or your own driveway. Look southwest.

Every launch on the calendar 👉 https://www.lompoclocals.com/en/events

#VandenbergSFB #RocketLaunch #Lompoc #LompocCA #CentralCoast #805",https://www.lompoclocals.com/en/events,docs/social-kit/images/week2/launch.png
2026-08-23,11:00,"facebook,instagram,tiktok",Video,"All of Lompoc, in one place 💜

Every local business, every event, every launch over the base — and everywhere worth going.

👉 https://www.lompoclocals.com

#Lompoc #LompocCA #ShopLocalLompoc #CentralCoast #805",https://www.lompoclocals.com,docs/social-kit/video/lompoc-locals-signup.mp4
