name,category,phone,profile_url,page_views,has_website
"Altered Aesthetics Beauty Lounge",Health & Beauty,(805) 291-9339,https://www.lompoclocals.com/en/biz/altered-aesthetics-beauty-lounge,8,false
"Bravo Pizza",Food & Drink,(805) 736-2000,https://www.lompoclocals.com/en/biz/bravo-pizza,5,true
"CVS",Health & Beauty,(805) 735-7424,https://www.lompoclocals.com/en/biz/cvs,4,true
"Glaze's Smokehouse and BBQ",Food & Drink,(805) 741-7610,https://www.lompoclocals.com/en/biz/glazes-smokehouse-bbq,4,false
"Abigail’s Flowers #2",Retail,(805) 345-1981,https://www.lompoclocals.com/en/biz/abigail-s-flowers-2,3,false
"Adrian's Smog & Auto Repair",Auto,(805) 819-0544,https://www.lompoclocals.com/en/biz/adrian-s-smog-auto-repair,3,true
"Caliber Collision",Auto,(805) 736-7090,https://www.lompoclocals.com/en/biz/caliber-collision,3,true
"Albertsons Pharmacy",Retail,(805) 737-0416,https://www.lompoclocals.com/en/biz/albertsons-pharmacy,2,true
"Ampelos Cellars",Wineries,(805) 736-9957,https://www.lompoclocals.com/en/biz/ampelos-cellars,2,true
"AutoZone Lompoc",Auto,(805) 737-1977,https://www.lompoclocals.com/en/biz/autozone-lompoc,2,true
"Big Brand Tire & Service",Auto,(805) 516-5585,https://www.lompoclocals.com/en/biz/big-brand-tire-service,2,true
"Chow-Ya",Food & Drink,(805) 741-7895,https://www.lompoclocals.com/en/biz/chow-ya,2,false
"Elevate Lompoc",Dispensaries,(805) 819-0077,https://www.lompoclocals.com/en/biz/elevate-lompoc,2,true
"Flower Field Coffee Co.",Food & Drink,(805) 555-0142,https://www.lompoclocals.com/en/biz/flower-field-coffee-co,2,true
"In&Out Tires Lpc",Auto,(805) 736-9332,https://www.lompoclocals.com/en/biz/in-out-tires-lpc,2,true
"Jasper's",Food & Drink,(805) 735-1509,https://www.lompoclocals.com/en/biz/jasper-s,2,true
"Lompoc Family YMCA",Services,(805) 736-3483,https://www.lompoclocals.com/en/biz/lompoc-family-ymca,2,true
"45 Degree Plumbing Inc.",Auto,(805) 315-4056,https://www.lompoclocals.com/en/biz/45-degree-plumbing-inc,1,false
"805 Bees Knees @The Garden Shoppe",Retail,(805) 294-8105,https://www.lompoclocals.com/en/biz/805-bees-knees-the-garden-shoppe,1,false
"Accurate Heating & Air Conditioning",Services,(805) 743-3403,https://www.lompoclocals.com/en/biz/accurate-heating-air-conditioning,1,true
"Alfie's Fish & Chips",Food & Drink,(805) 736-5000,https://www.lompoclocals.com/en/biz/alfie-s-fish-chips,1,true
"All in Juan fix it",Auto,(805) 363-0105,https://www.lompoclocals.com/en/biz/all-in-juan-fix-it,1,true
"Automotive Service Center of Lompoc",Auto,(805) 735-6678,https://www.lompoclocals.com/en/biz/automotive-service-center-of-lompoc,1,true
"Brewer-Clifton Winery",Food & Drink,(805) 735-9184,https://www.lompoclocals.com/en/biz/brewer-clifton-winery,1,true
"Carl's Jr.",Food & Drink,(805) 735-1016,https://www.lompoclocals.com/en/biz/carl-s-jr,1,true
"Carquest Auto Parts - Perrys Auto Parts",Auto,(805) 736-6142,https://www.lompoclocals.com/en/biz/carquest-auto-parts-perrys-auto-parts,1,true
"Certain Sparks Music",Retail,(805) 588-9479,https://www.lompoclocals.com/en/biz/certain-sparks-music,1,true
"Eddie's Grill",Food & Drink,(805) 735-4488,https://www.lompoclocals.com/en/biz/eddies-grill,1,true
"Eddie's Grill Village",Food & Drink,(805) 491-9823,https://www.lompoclocals.com/en/biz/eddie-s-grill-village,1,false
"Famous Nails and Spa",Health & Beauty,(805) 743-4096,https://www.lompoclocals.com/en/biz/famous-nails-and-spa,1,true
"Firestone Complete Auto Care",Auto,(805) 736-2040,https://www.lompoclocals.com/en/biz/firestone-lompoc,1,true
"Garcia's Auto Repair & Smog",Auto,(805) 964-9562,https://www.lompoclocals.com/en/biz/garcia-s-auto-repair-smog,1,false
"Jiffy Lube Lompoc",Auto,(805) 735-2008,https://www.lompoclocals.com/en/biz/jiffy-lube-lompoc,1,true
"Kaizen Collision Center - Lompoc",Auto,(805) 735-6456,https://www.lompoclocals.com/en/biz/kaizen-collision-center-lompoc,1,true
"Leaf Dispensary",Dispensaries,(805) 743-4771,https://www.lompoclocals.com/en/biz/leaf-dispensary-lompoc,1,true
"Lompoc Aquatic Center",Entertainment,(805) 875-8100,https://www.lompoclocals.com/en/biz/lompoc-aquatic-center,1,true
"Lompoc Family Dental",Auto,(805) 736-6579,https://www.lompoclocals.com/en/biz/lompoc-family-dental,1,true
"Luxury Nails Salon",Health & Beauty,(805) 735-1429,https://www.lompoclocals.com/en/biz/luxury-nails-salon,1,true
"Midas Lompoc",Auto,(805) 736-6780,https://www.lompoclocals.com/en/biz/midas-lompoc,1,true
"Mission Auto Care",Auto,(805) 555-0210,https://www.lompoclocals.com/en/biz/mission-auto-care,1,true
